iter	Logloss
0	0.6642267492
1	0.6371081135
2	0.620003632
3	0.604660803
4	0.5921111403
5	0.5826083565
6	0.5739141501
7	0.5672250439
8	0.561664763
9	0.5560568306
10	0.5522139787
11	0.5489801215
12	0.5459451469
13	0.5435853183
14	0.5411914946
15	0.5395514226
16	0.5382789964
17	0.5369330502
18	0.535807506
19	0.5345745569
20	0.5334140767
21	0.5326362305
22	0.5314775073
23	0.5308428745
24	0.5302636515
25	0.5288592699
26	0.528607835
27	0.528098496
28	0.527476695
29	0.5270059504
30	0.5266168621
31	0.5263116334
32	0.5259757139
33	0.5253021789
34	0.5250184513
35	0.5245704285
36	0.5244018246
37	0.5241520352
38	0.5238846494
39	0.5237206185
40	0.523216886
41	0.5228783523
42	0.5223342023
43	0.5220723961
44	0.521912309
45	0.521655284
46	0.5214058213
47	0.5211187007
48	0.5209134574
49	0.5207445407
50	0.5205400354
51	0.5202812726
52	0.520133857
53	0.5200006109
54	0.5198270092
55	0.5196932168
56	0.5195156575
57	0.5193731713
58	0.5191958054
59	0.5189386134
60	0.5185138349
61	0.5184372689
62	0.5181744686
63	0.5179334257
64	0.5177858992
65	0.5176292727
66	0.5175770791
67	0.5174514241
68	0.5173155846
69	0.5172151693
70	0.5171235226
71	0.5169639254
72	0.5167428378
73	0.5165641836
74	0.5164586172
75	0.5163057609
76	0.5161840773
77	0.5160379323
78	0.515970384
79	0.5158553444
80	0.5157364964
81	0.515349796
82	0.5152142229
83	0.5151653054
84	0.5150071986
85	0.5148931065
86	0.5148157345
87	0.5146687145
88	0.5145731669
89	0.5142556653
90	0.5141415528
91	0.5140331485
92	0.5139376347
93	0.5137819369
94	0.5136478317
95	0.5135013811
96	0.5133544491
97	0.5131861598
98	0.5130423145
99	0.5129164044
100	0.5128318009
101	0.5126928912
102	0.5125701902
103	0.5124385608
104	0.5123314973
105	0.5122031159
106	0.5120657098
107	0.5119521844
108	0.5118148047
109	0.511645968
110	0.5115792225
111	0.5114056819
112	0.5112637212
113	0.5111305148
114	0.5109930094
115	0.5109426215
116	0.5107255705
117	0.510546257
118	0.5104236834
119	0.5102012055
120	0.5101056144
121	0.5099683127
122	0.5098500815
123	0.509653922
124	0.5095563813
125	0.509451232
126	0.5093541818
127	0.5091125189
128	0.508986625
129	0.5088608136
130	0.5086772433
131	0.5085178319
132	0.5083884957
133	0.5082466436
134	0.5080964482
135	0.507953339
136	0.5078370091
137	0.5077321653
138	0.5076224708
139	0.5074942591
140	0.5073291515
141	0.5071792933
142	0.5070818313
143	0.5069715906
144	0.5068347066
145	0.5066980013
146	0.506568475
147	0.5064741183
148	0.5062965628
149	0.5061849872
150	0.5060375924
151	0.5059258727
152	0.5058257176
153	0.505700334
154	0.5055353435
155	0.5054358314
156	0.5052594785
157	0.5050685811
158	0.5049783725
159	0.5048631233
160	0.5047450924
161	0.5046543676
162	0.5045325752
163	0.5043969959
164	0.5042569052
165	0.504143812
166	0.5040092078
167	0.5039012266
168	0.5037732932
169	0.5036686363
170	0.5035806423
171	0.5034480999
172	0.5033450925
173	0.5031781272
174	0.5030586249
175	0.5029721045
176	0.5028941785
177	0.5028040174
178	0.5026530347
179	0.5025470885
180	0.5024685829
181	0.502327592
182	0.5021716842
183	0.5020151917
184	0.5019560327
185	0.5018135218
186	0.5017314857
187	0.5015558371
188	0.5014352152
189	0.5013170726
190	0.5012009929
191	0.5010427457
192	0.5008844302
193	0.5007661102
194	0.5006437887
195	0.5005563602
196	0.5004420726
197	0.500341192
198	0.5002260171
199	0.5001111217
200	0.5000199779
201	0.4999119244
202	0.499782099
203	0.4997162093
204	0.4996330406
205	0.4995771216
206	0.4994851094
207	0.4993920154
208	0.4992869623
209	0.4991351795
210	0.4990275524
211	0.4988476548
212	0.4987300268
213	0.498644081
214	0.4985469043
215	0.4984489811
216	0.498272507
217	0.4981403921
218	0.4980478973
219	0.4979694506
220	0.497853515
221	0.4977504711
222	0.4976504907
223	0.497500985
224	0.497338204
225	0.4972679711
226	0.4971918334
227	0.4970711852
228	0.4969629784
229	0.4968376838
230	0.4967483312
231	0.4966434665
232	0.4965462682
233	0.4964874599
234	0.4964258718
235	0.4963479793
236	0.4961792614
237	0.4960803985
238	0.4959718414
239	0.49590474
240	0.4957963808
241	0.495656838
242	0.4955748631
243	0.4954871188
244	0.4953879354
245	0.4953112061
246	0.4952393604
247	0.4951735995
248	0.4950788467
249	0.4950128385
250	0.4949018957
251	0.4947997456
252	0.4946872245
253	0.4945739378
254	0.4944373327
255	0.4943778197
256	0.4942801184
257	0.4941588072
258	0.4940355834
259	0.4939486494
260	0.4938190977
261	0.4936776817
262	0.4935951817
263	0.4935028765
264	0.4934025196
265	0.4933013443
266	0.493221192
267	0.4931538192
268	0.4930949323
269	0.4929938428
270	0.4928904145
271	0.4928214091
272	0.4927485613
273	0.4926119745
274	0.4925155829
275	0.4924216032
276	0.4923253941
277	0.4922748423
278	0.4921936241
279	0.4921201725
280	0.4920209826
281	0.4919007017
282	0.4918250108
283	0.4916617314
284	0.491579415
285	0.4914854109
286	0.4914085177
287	0.4912656338
288	0.4911861471
289	0.4911160762
290	0.4910483524
291	0.4909541039
292	0.4908506821
293	0.490753746
294	0.4906690656
295	0.490598926
296	0.4905098555
297	0.4904235353
298	0.4903063227
299	0.4902247296
300	0.4900809042
301	0.48999034
302	0.4898852249
303	0.4897994143
304	0.4896741177
305	0.4895726395
306	0.4894627008
307	0.4893515707
308	0.4892811401
309	0.4891856758
310	0.4890707606
311	0.4890217056
312	0.4889210359
313	0.4888110052
314	0.4887064961
315	0.4885932962
316	0.4884751881
317	0.4884116941
318	0.4883034511
319	0.4882593543
320	0.488211907
321	0.4881094644
322	0.4879982166
323	0.4879252224
324	0.4878161896
325	0.4877215228
326	0.487655535
327	0.4875536221
328	0.4874757075
329	0.4873574181
330	0.4872954163
331	0.4872075803
332	0.48708461
333	0.48700649
334	0.4868857352
335	0.4867737973
336	0.4867096016
337	0.4866104611
338	0.486523314
339	0.4864311169
340	0.4863563918
341	0.4862752011
342	0.4861744932
343	0.4860989499
344	0.4860200611
345	0.4859767709
346	0.4858809004
347	0.4857945529
348	0.4856931438
349	0.4855752456
350	0.4854625241
351	0.4853636991
352	0.4853256224
353	0.4852748409
354	0.4851692252
355	0.4850581105
356	0.4849711964
357	0.4849078878
358	0.4848236688
359	0.4847139057
360	0.484642442
361	0.4845540377
362	0.4844880886
363	0.4844247318
364	0.484338977
365	0.4842379551
366	0.4841592376
367	0.4840433267
368	0.4839732968
369	0.4839401466
370	0.4838831257
371	0.4837866913
372	0.4836744787
373	0.4835543473
374	0.483460125
375	0.4833873193
376	0.4832773077
377	0.4831764324
378	0.4831075229
379	0.4830040381
380	0.4829318483
381	0.482882556
382	0.4828029315
383	0.4826941209
384	0.4825914944
385	0.4825222184
386	0.4824666958
387	0.4823960929
388	0.4822935774
389	0.4822225271
390	0.4821858318
391	0.4821043548
392	0.4820434377
393	0.4819719276
394	0.4818870488
395	0.4817661425
396	0.4816654256
397	0.4815891724
398	0.4815223901
399	0.4814838839
400	0.4814024506
401	0.4813233009
402	0.4812183447
403	0.4811439925
404	0.4810378233
405	0.480988858
406	0.4808636894
407	0.4807902959
408	0.4806829091
409	0.4805953308
410	0.4804661926
411	0.4804110796
412	0.4803280885
413	0.4802660214
414	0.4801701054
415	0.480050929
416	0.479953304
417	0.479872779
418	0.4797910693
419	0.4796913943
420	0.4795919147
421	0.4795105083
422	0.4794697967
423	0.4793905319
424	0.4793386631
425	0.479240232
426	0.479123845
427	0.4790756055
428	0.4790108652
429	0.4789292991
430	0.4788755531
431	0.4787705511
432	0.4787072164
433	0.4786132946
434	0.4785260602
435	0.4784805856
436	0.4783811534
437	0.4783025604
438	0.4782577913
439	0.4781378665
440	0.4780465426
441	0.4779345064
442	0.4778792332
443	0.4777742583
444	0.4777159305
445	0.4776537349
446	0.4775508615
447	0.4774252841
448	0.4773312798
449	0.477257078
450	0.4771673502
451	0.4770996962
452	0.4770523682
453	0.4769972846
454	0.4768975406
455	0.4768071079
456	0.4767340378
457	0.4766583176
458	0.4765893531
459	0.476492384
460	0.4764042361
461	0.4763264098
462	0.476223797
463	0.4761323464
464	0.4760351114
465	0.4759557973
466	0.4758511755
467	0.4757326307
468	0.4756928287
469	0.475642035
470	0.4756011667
471	0.4755422804
472	0.4754634488
473	0.4754006482
474	0.4752963232
475	0.4752129992
476	0.475101876
477	0.4750496532
478	0.4749971269
479	0.4749580312
480	0.4748445917
481	0.4747661043
482	0.4746403772
483	0.4745447619
484	0.4744830781
485	0.474414787
486	0.4743152054
487	0.474218196
488	0.4741283693
489	0.4740542017
490	0.4739982482
491	0.4739129635
492	0.4738547594
493	0.4737648204
494	0.4737029226
495	0.4736192409
496	0.4735857815
497	0.4735269764
498	0.4734574403
499	0.4734026153
