iter	Passed	Remaining
0	32	16322
1	56	14125
2	89	14770
3	121	15006
4	150	14882
5	178	14666
6	196	13839
7	224	13778
8	248	13537
9	273	13425
10	303	13488
11	331	13494
12	358	13428
13	380	13220
14	396	12814
15	418	12649
16	444	12626
17	471	12626
18	509	12888
19	531	12745
20	555	12664
21	577	12552
22	593	12312
23	614	12185
24	642	12213
25	665	12141
26	689	12080
27	712	12009
28	734	11921
29	752	11795
30	769	11643
31	790	11564
32	814	11527
33	839	11508
34	857	11396
35	883	11393
36	907	11358
37	934	11364
38	956	11307
39	974	11204
40	1003	11232
41	1028	11219
42	1046	11122
43	1070	11096
44	1096	11089
45	1116	11021
46	1138	10975
47	1152	10854
48	1177	10837
49	1196	10767
50	1230	10830
51	1252	10789
52	1274	10753
53	1298	10724
54	1318	10669
55	1335	10588
56	1360	10570
57	1398	10656
58	1421	10623
59	1445	10602
60	1467	10561
61	1494	10559
62	1517	10529
63	1535	10458
64	1558	10427
65	1583	10414
66	1605	10377
67	1630	10357
68	1654	10337
69	1680	10321
70	1697	10258
71	1714	10192
72	1734	10144
73	1759	10131
74	1785	10119
75	1813	10117
76	1841	10117
77	1867	10101
78	1890	10073
79	1906	10009
80	1931	9993
81	1958	9984
82	1986	9978
83	2013	9971
84	2038	9950
85	2068	9956
86	2098	9962
87	2113	9893
88	2142	9894
89	2167	9876
90	2193	9857
91	2218	9840
92	2243	9818
93	2273	9818
94	2291	9767
95	2320	9766
96	2344	9739
97	2365	9703
98	2393	9695
99	2418	9672
100	2439	9637
101	2464	9617
102	2482	9570
103	2506	9542
104	2534	9534
105	2559	9515
106	2585	9497
107	2604	9452
108	2633	9446
109	2655	9414
110	2672	9364
111	2694	9333
112	2713	9294
113	2732	9253
114	2753	9217
115	2775	9186
116	2817	9222
117	2842	9200
118	2858	9152
119	2878	9114
120	2902	9091
121	2929	9075
122	2953	9051
123	2976	9024
124	3003	9009
125	3018	8960
126	3036	8917
127	3052	8871
128	3081	8863
129	3105	8838
130	3124	8799
131	3145	8770
132	3168	8742
133	3190	8713
134	3211	8683
135	3230	8646
136	3260	8638
137	3283	8612
138	3303	8580
139	3326	8554
140	3347	8523
141	3370	8497
142	3392	8468
143	3411	8435
144	3429	8395
145	3460	8390
146	3477	8350
147	3506	8340
148	3530	8316
149	3546	8275
150	3563	8237
151	3582	8201
152	3611	8190
153	3638	8175
154	3665	8157
155	3689	8135
156	3709	8103
157	3728	8069
158	3748	8038
159	3772	8016
160	3791	7983
161	3808	7945
162	3828	7915
163	3853	7894
164	3871	7860
165	3894	7836
166	3915	7808
167	3933	7773
168	3961	7758
169	3979	7724
170	4000	7696
171	4024	7674
172	4051	7658
173	4075	7634
174	4099	7612
175	4124	7593
176	4147	7568
177	4167	7539
178	4188	7512
179	4214	7493
180	4236	7465
181	4265	7452
182	4289	7429
183	4310	7402
184	4326	7367
185	4356	7354
186	4382	7336
187	4404	7309
188	4435	7298
189	4459	7276
190	4477	7243
191	4497	7215
192	4521	7192
193	4543	7166
194	4561	7134
195	4582	7107
196	4603	7080
197	4622	7050
198	4644	7024
199	4664	6997
200	4686	6972
201	4710	6948
202	4730	6920
203	4752	6895
204	4772	6867
205	4794	6842
206	4819	6821
207	4842	6798
208	4866	6775
209	4889	6752
210	4912	6728
211	4931	6698
212	4956	6678
213	4979	6655
214	5001	6630
215	5020	6601
216	5044	6578
217	5064	6551
218	5083	6522
219	5105	6497
220	5130	6476
221	5149	6448
222	5169	6421
223	5193	6399
224	5215	6374
225	5238	6351
226	5260	6326
227	5282	6301
228	5301	6273
229	5322	6247
230	5345	6224
231	5370	6204
232	5389	6176
233	5409	6149
234	5440	6134
235	5462	6110
236	5483	6085
237	5499	6053
238	5519	6027
239	5539	6001
240	5558	5973
241	5580	5949
242	5602	5925
243	5620	5896
244	5640	5870
245	5657	5841
246	5676	5814
247	5698	5790
248	5722	5768
249	5745	5745
250	5769	5723
251	5793	5701
252	5812	5674
253	5835	5651
254	5857	5627
255	5876	5600
256	5892	5571
257	5911	5545
258	5933	5521
259	5953	5495
260	5978	5474
261	6004	5454
262	6027	5431
