Upper_Age,Region_Code,Reco_Policy_Premium,Reco_Insurance_Type,Lower_Age,Is_Spouse,ID,Holding_Policy_Type,Holding_Policy_Duration,Health Indicator,City_Code,Accomodation_Type,Response
36,3213,11628,Individual,36,No,1,3,14+,X1,C3,Rented,0
75,1117,30510,Joint,22,No,2,,,X2,C5,Owned,0
32,3732,7450,Individual,32,No,3,1,1,,C5,Owned,1
52,4378,17780,Joint,48,No,4,3,14+,X1,C24,Owned,0
44,2190,10404,Individual,44,No,5,1,3,X2,C8,Rented,0
52,1785,15264,Individual,52,No,6,1,5,X2,C9,Rented,1
28,679,10640,Individual,28,No,7,,,,C3,Owned,0
75,3175,29344,Joint,73,Yes,8,4,9,X4,C1,Owned,1
52,3497,27283.2,Joint,43,No,9,3,14,X1,C15,Owned,0
59,530,21100.8,Joint,26,Yes,10,4,7,,C1,Owned,1
21,600,4068,Individual,21,No,11,,,X2,C28,Owned,1
59,1097,25043.2,Joint,47,Yes,12,3,3,X3,C27,Owned,0
66,3453,17192,Individual,66,No,13,2,1,,C7,Owned,1
20,900,8364,Individual,20,No,14,,,X2,C5,Rented,0
27,1911,9440,Individual,27,No,15,3,2,X3,C20,Rented,0
20,1484,4912,Individual,20,No,16,,,X3,C3,Rented,0
34,1090,6660,Individual,34,No,17,1,11,X1,C3,Owned,0
43,677,10386,Individual,43,No,18,,,X2,C7,Owned,0
55,1634,12580,Individual,55,No,19,3,1,X2,C1,Owned,0
27,973,8050,Individual,27,No,20,,,,C20,Owned,0
32,3543,12060,Individual,32,No,21,3,3,X2,C9,Owned,0
23,1127,10352,Individual,23,No,22,,,X2,C24,Rented,0
18,787,2828,Individual,18,No,23,,,X6,C25,Rented,0
22,2862,5416,Individual,22,No,24,,,X6,C1,Rented,0
22,2182,6370,Individual,22,No,25,3,1,X1,C4,Rented,0
25,2276,7128,Individual,25,No,26,,,X1,C5,Rented,0
21,3283,7230,Individual,21,No,27,,,X1,C4,Rented,0
21,855,3744,Individual,21,No,28,,,X5,C9,Rented,1
24,520,7800,Individual,24,No,29,,,X5,C1,Rented,0
27,894,12150,Individual,27,No,30,1,7,X3,C1,Owned,1
40,2137,22176,Joint,34,Yes,31,4,3,X5,C2,Owned,0
27,1012,10480,Individual,27,No,32,,,X6,C34,Rented,0
20,1174,5550,Individual,20,No,33,,,X1,C20,Rented,0
26,2087,10264.8,Joint,21,Yes,34,3,2,X1,C20,Rented,0
22,518,5950,Individual,22,No,35,,,,C9,Rented,0
56,1410,13574,Individual,56,No,36,,,,C10,Owned,0
55,1045,21582,Joint,18,No,37,3,5,X6,C2,Rented,0
35,420,12400,Individual,35,No,38,,,X1,C17,Rented,0
